#CODE;RUSSIAN;;;;;;;;;;;;;x
d_aerie_peak;Заоблачный Пик;;;;;;;;;;;;;x
d_aerie_peak_adj;Заоблачнопик;;;;;;;;;;;;;x
d_aessina;Эссина;;;;;;;;;;;;;x
d_aessina_adj;Эссин;;;;;;;;;;;;;x
d_ahnqiraj;Ан'кираж;;;;;;;;;;;;;x
d_ahnqiraj_adj;Ан'кираж;;;;;;;;;;;;;x
d_akhenet;Ахенет;;;;;;;;;;;;;x
d_akhenet_adj;Ахенет;;;;;;;;;;;;;x
d_alterac;Альтерак;;;;;;;;;;;;;x
d_alterac_adj;Альтерак;;;;;;;;;;;;;x
d_amber_ledge;Янтарная Гряда;;;;;;;;;;;;;x
d_amber_ledge_adj;Янтарногряд;;;;;;;;;;;;;x
d_ambermill;Янтарная Мельница;;;;;;;;;;;;;x
d_ambermill_adj;Янтарномельник;;;;;;;;;;;;;x
d_andorhal;Андорал;;;;;;;;;;;;;x
d_andorhal_adj;Андораль;;;;;;;;;;;;;x
d_ashvane;Эшвейн;;;;;;;;;;;;;x
d_ashvane_adj;Эшвейн;;;;;;;;;;;;;x
d_asova;Ашова;;;;;;;;;;;;;x
d_asova_adj;Ашов;;;;;;;;;;;;;x
d_assmel;Асмель;;;;;;;;;;;;;x
d_assmel_adj;Асмель;;;;;;;;;;;;;x
d_astranaar;Астранаар;;;;;;;;;;;;;x
d_astranaar_adj;Астранаар;;;;;;;;;;;;;x
d_atulaman;Атул'Аман;;;;;;;;;;;;;x
d_atulaman_adj;Атул'Аман;;;;;;;;;;;;;x
d_azuremyst_isle;Остров Лазурной Дымки;;;;;;;;;;;;;x
d_azuremyst_isle_adj;Лазурнодым;;;;;;;;;;;;;x
d_badland;Бесплодные земли;;;;;;;;;;;;;x
d_badland_adj;Бесплоднозем;;;;;;;;;;;;;x
d_balor;Балор;;;;;;;;;;;;;x
d_balor_adj;Балор;;;;;;;;;;;;;x
d_bambala;Бамбала;;;;;;;;;;;;;x
d_bambala_adj;Бамбал;;;;;;;;;;;;;x
d_baymouth;Устье залива;;;;;;;;;;;;;x
d_baymouth_adj;Беймут;;;;;;;;;;;;;x
d_black_morass;Черные Топи;;;;;;;;;;;;;x
d_black_morass_adj;Чернотоп;;;;;;;;;;;;;x
d_blackmaw;Черночрево;;;;;;;;;;;;;x
d_blackmaw_adj;Черночрев;;;;;;;;;;;;;x
d_blackrock_mountain;Черная Гора;;;;;;;;;;;;;x
d_blackrock_mountain_adj;Черногор;;;;;;;;;;;;;x
d_blackwald;Черная Дубрава;;;;;;;;;;;;;x
d_blackwald_adj;Чернодубрав;;;;;;;;;;;;;x
d_blackwood;Чернолесье;;;;;;;;;;;;;x
d_blackwood_adj;Чернолес;;;;;;;;;;;;;x
d_bloodspore;Кровавая Спора;;;;;;;;;;;;;x
d_bloodspore_adj;Кровоспор;;;;;;;;;;;;;x
d_bluedome;Голубой Купол;;;;;;;;;;;;;x
d_bluedome_adj;Голубокупол;;;;;;;;;;;;;x
d_bogpaddle;Веслотопь;;;;;;;;;;;;;x
d_bogpaddle_adj;Веслотопь;;;;;;;;;;;;;x
d_bonetrail;Костяное Ущелье;;;;;;;;;;;;;x
d_bonetrail_adj;Костяноущель;;;;;;;;;;;;;x
d_booty_bay;Пиратская Бухта;;;;;;;;;;;;;x
d_booty_bay_adj;Пиратскобухт;;;;;;;;;;;;;x
d_borean_strand;Борейская Прядь;;;;;;;;;;;;;x
d_borean_strand_adj;Борейскопряд;;;;;;;;;;;;;x
d_brackenwall;Гиблотопь;;;;;;;;;;;;;x
d_brackenwall_adj;Гиблотопь;;;;;;;;;;;;;x
d_brightwood;Светлая Роща;;;;;;;;;;;;;x
d_brightwood_adj;Светлорощь;;;;;;;;;;;;;x
d_brill;Брилл;;;;;;;;;;;;;x
d_brill_adj;Брилл;;;;;;;;;;;;;x
d_brunnhildar;Брунхильдар;;;;;;;;;;;;;x
d_brunnhildar_adj;Брунхильдар;;;;;;;;;;;;;x
d_bulwark;Бастион;;;;;;;;;;;;;x
d_bulwark_adj;Бастион;;;;;;;;;;;;;x
d_burning_steppes;Пылающие Cтепи;;;;;;;;;;;;;x
d_burning_steppes_adj;Пылающестеп;;;;;;;;;;;;;x
d_bwonalor;Бвон'алор;;;;;;;;;;;;;x
d_bwonalor_adj;Бвон'алор;;;;;;;;;;;;;x
d_cape_of_stranglethorn;Мыс Тернистой долины;;;;;;;;;;;;;x
d_cape_of_stranglethorn_adj;Тернодоль;;;;;;;;;;;;;x
d_caverns_of_time;Пещеры Времени;;;;;;;;;;;;;x
d_caverns_of_time_adj;Времяпещер;;;;;;;;;;;;;x
d_central_dun_morogh;Центральный Дун Морог;;;;;;;;;;;;;x
d_central_dun_morogh_adj;Дунморог;;;;;;;;;;;;;x
d_channel_islands;Острова канала;;;;;;;;;;;;;x
d_channel_islands_adj;Островоканал;;;;;;;;;;;;;x
d_cifonill;Кифонилл;;;;;;;;;;;;;x
d_cifonill_adj;Кифонилл;;;;;;;;;;;;;x
d_cleftlands;Расселина;;;;;;;;;;;;;x
d_cleftlands_adj;Расселин;;;;;;;;;;;;;x
d_cocheta;Кохета;;;;;;;;;;;;;x
d_cocheta_adj;Кохет;;;;;;;;;;;;;x
d_coldarra;Хладарра;;;;;;;;;;;;;x
d_coldarra_adj;Хладарр;;;;;;;;;;;;;x
d_constellas;Констеллас;;;;;;;;;;;;;x
d_constellas_adj;Констелл;;;;;;;;;;;;;x
d_crossroads;Перекресток;;;;;;;;;;;;;x
d_crossroads_adj;Перекресток;;;;;;;;;;;;;x
d_crowvale;Воронья Долина;;;;;;;;;;;;;x
