#CODE;RUSSIAN;;;;;;;;;;;;;x
#Military Technologies;;;;;;;;;;;;;;x
TECH_INFANTRY;Передовые войска;;;;;;;;;;;;;x
TECH_CAVALRY;Наступательные войска;;;;;;;;;;;;;x
TECH_SIEGE_EQUIPMENT;Военная инженерия;;;;;;;;;;;;;x
TECH_RECRUITMENT;Военная логистика;;;;;;;;;;;;;x
TECH_INFANTRY_DESC;Улучшение снаряжения и дисциплины наших передовых войск;;;;;;;;;;;;;x
TECH_CAVALRY_DESC;Улучшение снаряжения и дисциплины наших наступательных войск;;;;;;;;;;;;;x
TECH_SIEGE_EQUIPMENT_DESC;Более продвинутые методы и осадные машины для наших механических войск;;;;;;;;;;;;;x
TECH_RECRUITMENT_DESC;Более продвинутые логистические системы и методы набора войск;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#ABBREVIATIONS;;;;;;;;;;;;;;x
L_INF;ЗЛ;;;;;;;;;;;;;x
H_INF;ПТ;;;;;;;;;;;;;x
PIKE;КП;;;;;;;;;;;;;x
L_CAV;КВ;;;;;;;;;;;;;x
ARCH;СП;;;;;;;;;;;;;x
H_CAV;ВП;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
PIKEMEN;Крупная пехота;;;;;;;;;;;;;x
PIKEMEN_OFFENSIVE_FIRE;Атака крупной пехоты;;;;;;;;;;;;;x
PIKEMEN_DEFENSIVE_FIRE;Защита крупной пехоты;;;;;;;;;;;;;x
PIKEMEN_MORALE;Боевой дух крупной пехоты;;;;;;;;;;;;;x
PIKEMEN_MODIFIER;Модификатор крупной пехоты;;;;;;;;;;;;;x
CU_PIKEMEN;Крупная пехота;;;;;;;;;;;;;x
KNIGHTS;Воздушная пехота;;;;;;;;;;;;;x
KNIGHTS_OFFENSIVE_FIRE;Атака воздушной пехоты;;;;;;;;;;;;;x
KNIGHTS_DEFENSIVE_FIRE;Защита воздушной пехоты;;;;;;;;;;;;;x
KNIGHTS_MORALE;Боевой дух воздушной пехоты;;;;;;;;;;;;;x
KNIGHTS_MODIFIER;Модификатор воздушной пехоты;;;;;;;;;;;;;x
CU_KNIGHTS;Воздушная пехота;;;;;;;;;;;;;x
CU_HEAVY_CAVALRY;Воздушная пехота;;;;;;;;;;;;;x
LIGHT_CAVALRY;Кавалерия;;;;;;;;;;;;;x
LIGHT_CAVALRY_OFFENSIVE_FIRE;Атака кавалерии;;;;;;;;;;;;;x
LIGHT_CAVALRY_DEFENSIVE_FIRE;Защита кавалерии;;;;;;;;;;;;;x
LIGHT_CAVALRY_MORALE;Боевой дух кавалерии;;;;;;;;;;;;;x
LIGHT_CAVALRY_MODIFIER;Модификатор кавалерии;;;;;;;;;;;;;x
CU_LIGHT_CAVALRY;Кавалерия;;;;;;;;;;;;;x
CU_CAVALRY;Ударные войска;;;;;;;;;;;;;
ARCHERS;Стрелковая пехота;;;;;;;;;;;;;x
ARCHERS_OFFENSIVE_FIRE;Атака стрелковой пехоты;;;;;;;;;;;;;x
ARCHERS_DEFENSIVE_FIRE;Защита стрелковой пехоты;;;;;;;;;;;;;x
ARCHERS_MORALE;Боевой дух стрелковой пехоты;;;;;;;;;;;;;x
ARCHERS_MODIFIER;Модификатор стрелковой пехоты;;;;;;;;;;;;;x
CU_ARCHERS;Стрелковая пехота;;;;;;;;;;;;;x
HEAVY_INFANTRY;Пехота;;;;;;;;;;;;;x
