#CODE;RUSSIAN;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#Evil Upgrades;;;;;;;;;;;;;;x
upgrade_unholy_statues;Нечестивые статуи;;;;;;;;;;;;;x
upgrade_unholy_statues_desc;Эти статуи нечестивых существ вселяют ужас в сердца врагов и вдохновляют темную армию.;;;;;;;;;;;;;x
upgrade_sanctuary_of_shadows;Святилище Теней;;;;;;;;;;;;;x
upgrade_sanctuary_of_shadows_desc;Это святилище служит как место встречи для послушников.;;;;;;;;;;;;;x
upgrade_black_walls;Темные стены;;;;;;;;;;;;;x
upgrade_black_walls_desc;Эти стены сделаны из темного камня неизвестного для смертных рас.;;;;;;;;;;;;;x
upgrade_crimson_hall;Багровый Зал;;;;;;;;;;;;;x
upgrade_crimson_hall_desc;Этот зал богато обставлен красными декорациями и багровыми шторами и используется для военных собраний.;;;;;;;;;;;;;x
upgrade_plagueworks;Бойня;;;;;;;;;;;;;x
upgrade_plagueworks_desc;Здесь лучшие некроманты превращают плоть смертных рас в произведения искусства.;;;;;;;;;;;;;x
upgrade_nerubian_busts;Нерубианские бюсты;;;;;;;;;;;;;x
upgrade_nerubian_busts_desc;Эти холодные черные глаза приводят любого смертного в панику.;;;;;;;;;;;;;x
upgrade_endless_corridors;Бесконечный Коридоры;;;;;;;;;;;;;x
upgrade_endless_corridors_desc;Гигантская сеть коридоров соединяющая склепы и гигантские залы.;;;;;;;;;;;;;x
upgrade_twilight_altar;Сумеречный Алтарь;;;;;;;;;;;;;x
upgrade_twilight_altar_desc;Каждая смерть приближает Древних Богов к полному разложению этого мира.;;;;;;;;;;;;;x
upgrade_old_gods_relics;Мощи Древних Богов;;;;;;;;;;;;;x
upgrade_old_gods_relics_desc;Пульсирующая зловонная плоть Древних Богов.;;;;;;;;;;;;;x
upgrade_black_obelisks;Черные Обелиски;;;;;;;;;;;;;x
upgrade_black_obelisks_desc;Только Древние Боги знают назначение этих монументальных сооружений.;;;;;;;;;;;;;x
upgrade_soul_extractor;Экстрактор Душ;;;;;;;;;;;;;x
upgrade_soul_extractor_desc;Инструмент, используемый для извлечения душ смертных существ.;;;;;;;;;;;;;x
upgrade_demonic_machinery;Демоническая Машинерия;;;;;;;;;;;;;x
upgrade_demonic_machinery_desc;Гигантские механизмы Скверны, поддерживающие работу этого комплекса.;;;;;;;;;;;;;x
upgrade_fel_pool;Бассейн Скверны;;;;;;;;;;;;;x
upgrade_fel_pool_desc;Этот бассейн энергии Скверны питает демонических существ, населяющих эту структуру.;;;;;;;;;;;;;x
upgrade_construct_quarter;Квартал Мерзости;;;;;;;;;;;;;x
upgrade_construct_quarter_desc;В этом квартале некрополя собирают кошмарных существ, которые будут исполнять волю Плети.;;;;;;;;;;;;;x
upgrade_moarg_workshops;Мастерские мо'аргов;;;;;;;;;;;;;x
upgrade_moarg_workshops_desc;В этих мастерских трудятся инженеры Легиона, мо'арги, создавая демоническое оружие и броню для войск.;;;;;;;;;;;;;x
upgrade_condemned_halls;Залы Обреченных;;;;;;;;;;;;;x
upgrade_condemned_halls_desc;В этих залах раздается шепот Древних Богов. Они служат местом паломничества для их безумных последователей.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#General;;;;;;;;;;;;;;x
upgrade_stained_glass_window_desc;Прекрасное произведение искусства, на котором изображена сцена из легенды.;;;;;;;;;;;;;x
upgrade_giant_cross;Гигантский шпиль;;;;;;;;;;;;;x
upgrade_giant_cross_desc;На вершине [FromFrom.GetWonderTypeShortCap] находится шпиль, украшающий все сооружение.;;;;;;;;;;;;;x
upgrade_collection_architecture_desc;В классических работах древних мыслителей раскрыты секреты строительства великих сооружений, дорог и мостов.;;;;;;;;;;;;;
upgrade_collection_math_desc;В этой коллекции можно найти от работ калдорейских мыслителей до новейших трактатов по математике.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
#Historical wonder upgrades;;;;;;;;;;;;;;
upgrade_forge_of_wills;Кузня Воли;;;;;;;;;;;;;
upgrade_forge_of_wills_desc;Кузня Воли была возведена титанами для усиления спящей Азерот. Энергия Кузни может быть использована для создания легионов кованных титанами.;;;;;;;;;;;;;
upgrade_silithid_greathive;Великий улей силитидов;;;;;;;;;;;;;
upgrade_silithid_greathive_desc;В великом улье силитидов, расположенном в Ан'Кираже, находится их самая большая королева, откладывающая яйца, из которых вылупляются солдаты-инсектоиды.;;;;;;;;;;;;;
upgrade_crucible_of_storms;Горнило Штормов;;;;;;;;;;;;;
upgrade_crucible_of_storms_desc;Глубоко под Святилищем Штормов обитает древнее зло. Шепот, лишающий рассудка, эхом раздается из глубин, воспевая могущество жутких существ. Те, чья воля была подчинена шепотом, ныне проводят темные ритуалы, исполняя волю своего повелителя.;;;;;;;;;;;;;
