#CODE;RUSSIAN;;;;;;;;;;;;;x
#MAINT. BY DUKEJEANS;;;;;;;;;;;;;;x
ca_culture_dryad_1;Роща Кенария;;;;;;;;;;;;;x
ca_culture_dryad_2;Роща Кенария;;;;;;;;;;;;;x
ca_culture_dryad_3;Роща Кенария;;;;;;;;;;;;;x
ca_culture_dryad_4;Роща Кенария;;;;;;;;;;;;;x
ca_culture_dryad_desc;В этой священной роще дети Кенария резвятся под безмолвным и бдительным присмотром тех, кто отдаст свою жизнь, чтобы защитить эти дебри. Хранители рощи умело владеют как копьем, так и луком, готовые пожертвовать собой ради того, чтобы остановить тех, кто угрожает самой жизни.;;;;;;;;;;;;;x
ca_culture_vulpera_1;Караван-сарай вульперов;;;;;;;;;;;;;x
ca_culture_vulpera_2;Караван-сарай вульперов;;;;;;;;;;;;;x
ca_culture_vulpera_3;Караван-сарай вульперов;;;;;;;;;;;;;x
ca_culture_vulpera_4;Караван-сарай вульперов;;;;;;;;;;;;;x
ca_culture_vulpera_desc;Вульперы обычно ведут мирный кочевой образ жизни, обитая в своих норах или странствуя с караванами. Однако, когда над ними нависает опасность, лучники вульперов с яростью защищают своих людей и сокровища.;;;;;;;;;;;;;x
ca_culture_vrykul_1;Драконьи стойбища врайкулов;;;;;;;;;;;;;x
ca_culture_vrykul_2;Драконьи стойбища врайкулов;;;;;;;;;;;;;x
ca_culture_vrykul_3;Драконьи стойбища врайкулов;;;;;;;;;;;;;x
ca_culture_vrykul_4;Драконьи стойбища врайкулов;;;;;;;;;;;;;x
ca_culture_vrykul_desc;Произошедшие от творений Титанов врайкулы всегда демонстрировали мастерство в ближнем бою. Они также известны тем, что первыми приручили протодраконов, которые сменили лошадей. Врайкулы поистине грозные воины, будь то наездник на протодраконе или пеший налетчик с боевым топором в руках.;;;;;;;;;;;;;x
ca_culture_undead_1;Раскопанные катакомбы;;;;;;;;;;;;;x
ca_culture_undead_2;Раскопанные катакомбы;;;;;;;;;;;;;x
ca_culture_undead_3;Раскопанные катакомбы;;;;;;;;;;;;;x
ca_culture_undead_4;Раскопанные катакомбы;;;;;;;;;;;;;x
ca_culture_undead_desc;Пойманные в ловушку между жизнью и смертью, которая подпитывается некромантической магией, местная нежить лишена разума, но мночисленна. Некроманты никогда не испытывают недостатка в телах, когда дело доходит до воскрешения нежити, чтобы пополнить ряды войск.;;;;;;;;;;;;;x
ca_culture_tuskarr_1;Клыкаррские загоны для черепах;;;;;;;;;;;;;x
ca_culture_tuskarr_2;Клыкаррские загоны для черепах;;;;;;;;;;;;;x
ca_culture_tuskarr_3;Клыкаррские загоны для черепах;;;;;;;;;;;;;x
ca_culture_tuskarr_4;Клыкаррские загоны для черепах;;;;;;;;;;;;;x
